municipio;Total;Branca;Preta;Amarela;Parda;Indígena;n_declarado
Monte do Carmo (TO);3115;394;352;48;2320;1;-
Monte Santo do Tocantins (TO);965;283;63;28;591;-;-
Palmeiras do Tocantins (TO);2749;629;190;10;1920;-;-
Muricilândia (TO);1495;278;198;60;959;-;-
Natividade (TO);4404;643;667;52;3041;1;-
Nazaré (TO);2124;385;168;41;1530;-;-
Nova Olinda (TO);5110;1292;261;80;3475;2;-
Nova Rosalândia (TO);1805;397;164;35;1209;-;-
Novo Acordo (TO);1841;281;102;26;1422;10;-
Novo Alegre (TO);1106;265;92;13;736;-;-
Novo Jardim (TO);1180;205;52;4;919;-;-
Oliveira de Fátima (TO);485;111;33;-;340;1;-
Palmeirante (TO);2295;427;67;19;1779;3;-
Palmeirópolis (TO);3635;1013;234;48;2337;3;-
Paraíso do Tocantins (TO);22304;7581;1061;460;13177;25;-
Paranã (TO);4894;398;893;200;3400;3;-
Pau D'Arco (TO);2129;546;237;6;1334;6;-
Pedro Afonso (TO);5570;1390;307;145;3721;7;-
Peixe (TO);4957;823;675;126;3316;17;-
Pequizeiro (TO);2387;648;128;57;1546;8;-
Colméia (TO);4243;1507;313;43;2377;3;-
Pindorama do Tocantins (TO);2121;540;258;4;1319;-;-
Piraquê (TO);1294;258;181;36;816;3;-
Pium (TO);3168;655;178;72;1966;297;-
Ponte Alta do Bom Jesus (TO);2139;267;97;67;1708;-;-
Ponte Alta do Tocantins (TO);3301;536;336;61;2368;-;-
Porto Alegre do Tocantins (TO);1365;187;152;24;1002;-;-
Porto Nacional (TO);24629;5615;3130;677;15142;65;-
Praia Norte (TO);3762;701;389;104;2568;-;-
Presidente Kennedy (TO);1799;359;104;27;1309;-;-
Pugmil (TO);1112;299;112;8;693;-;-
Recursolândia (TO);1760;269;125;32;1331;3;-
Riachinho (TO);2023;364;382;47;1229;1;-
Rio da Conceição (TO);828;114;81;17;616;-;-
Rio dos Bois (TO);1209;239;38;26;906;-;-
Rio Sono (TO);2875;428;116;39;2292;-;-
Sampaio (TO);1894;321;291;43;1227;12;-
Sandolândia (TO);1585;525;113;25;913;9;-
Santa Fé do Araguaia (TO);3182;868;253;38;1871;152;-
Santa Maria do Tocantins (TO);1376;348;88;3;935;2;-
Santa Rita do Tocantins (TO);1019;243;88;11;677;-;-
Santa Rosa do Tocantins (TO);2157;165;289;34;1669;-;-
Santa Tereza do Tocantins (TO);1184;199;115;10;860;-;-
Santa Terezinha do Tocantins (TO);1206;324;84;-;798;-;-
São Bento do Tocantins (TO);2205;390;230;23;1545;17;-
São Félix do Tocantins (TO);667;79;71;32;485;-;-
São Miguel do Tocantins (TO);5191;1025;694;157;3305;10;-
São Salvador do Tocantins (TO);1424;177;149;50;1043;5;-
São Sebastião do Tocantins (TO);2084;386;253;57;1388;-;-
São Valério (TO);2116;357;356;96;1303;4;-
Silvanópolis (TO);2413;336;339;13;1725;-;-
Sítio Novo do Tocantins (TO);4517;922;341;93;3156;5;-
Sucupira (TO);848;218;106;6;518;-;-
Taguatinga (TO);7167;1220;424;147;5372;4;-
Taipas do Tocantins (TO);928;96;60;20;751;1;-
